start,end,dijkstra_distance,straight_distance,distance,capacity_fwd,capacity_bck
AB_Central,AB_North,437,329.3700825,437,3588,3588
AB_Central,AB_South,281.85,276.3012373,281.85,4565,4565
AB_South,BC_South,inf,683.5987355,683.5987355,1000,1200
AB_South,SK,inf,648.8980482,648.8980482,150,150
BC_North,BC_South,634.665,588.105201,634.665,11546,11546
MB,ON_Northwest,inf,622.3781536,622.3781536,235,235
MB,SK,inf,512.1616292,512.1616292,325,75
NB_East,NB_West,211.24,183.8711634,211.24,2391,2391
NB_East,NS_West,inf,164.2809368,164.2809368,150,150
NB_East,PE,inf,73.68741225,73.68741225,300,108
NB_West,QC_East,inf,410.2930437,410.2930437,738,738
NL_Labrador,QC_Central,inf,694.6167624,694.6167624,5150,0
NL_Newfoundland,NS_East,inf,579.7247114,579.7247114,475,475
NS_East,NS_West,340.8,306.3562672,340.8,1275,1275
ON_East,ON_North,290,255.5220105,290,1960,2150
ON_East,ON_South,156.8,138.0028132,156.8,3855,3855
ON_East,ON_Toronto,95.8,72.12622797,95.8,3100,3100
ON_East,QC_South,inf,505.5332893,505.5332893,1820,2210
ON_North,ON_Northwest,785.72,661.3046337,785.72,490,475
ON_South,ON_Toronto,96,85.17832815,96,2044,2044
QC_Central,QC_East,241.1,223.3264071,241.1,10270,10270
QC_Central,QC_North,957.6,574.6160309,957.6,4800,4800
QC_Central,QC_South,518.9,436.8632803,518.9,8586,8586
QC_East,QC_North,1424.4,638.4839415,1424.4,0,2000
QC_East,QC_South,216,223.9002587,223.9002587,7200,7200
QC_North,QC_South,802.6,683.0190072,802.6,4800,4800
NL_Newfoundland,NL_Labrador,,1350,1350,900,900
